1. ¿En qué barrio de la Ciudad de Buenos Aires vivió el pintor autodidacta Benito Quinquela Martín?,"Para saber más: Benito Quinquela Martín (Buenos Aires 1890 - 1977), trabajó durante su infancia acarreando bolsas en una carbonearía, experiencia que influenció su visión artística de temática popular.",Puerto Madryn,Coghlan,La Boca,1,
2. ¿Cuál es el nombre de éste famoso personaje creado por Antonio Berni?,Tip: Antonio Berni (1905 - 1981) creó personajes que representaban a los sectores pobres y olvidados del país.,Javiercito Rodriguez,Pedrito el Charquito,Juanito Laguna,1,
3. ¿En qué país nació Joaquín Torres García el creador de la Escuela del Sur?,"Para saber más: Joaquín Torres García (1874 - 1949) fue un destacado pintor, profesor, escritor, escultor y teórico, creador del ""Universalismo constructivo"" uno de los principales movimientos artísticos de su país",Japón,Ecuador,Uruguay,1,
4. ¿A qué movimiento pertenece esta pintura realizada en México por la artista española Remedios Varo?,"Para saber más: María de los Remedios Alicia Rodriga Varo y Uranga (1908 – 1963), conocida como Remedios Varo, fue una pintora española naturalizada mexicana que emigró a América como refugiada política durante la Segunda Guerra Mundial.",Suprematismo,Romanticismo,Surrealismo,1,
"5. Esta obra de Arte Callejero títulada ""Identidad"" representa a dos ciudadanos de un país latinoamericano. ¿Cuál es?","Para saber más: El arte callejero cuenta con una variedad de técnicas: Graffiti, esténcil, pegatinas, mosaicos. Inclusive hay artistas que trabajan sobre los muros utilizando solo agua.",Chile,Brasil,Perú,1,
6. ¿En que ciudad esta emplazada la escultura del lobo marino hecha de alfajores de la Artista Marta Minujin?,"Tip: Marta Inés Minujín es una artista conceptual, pop y de acción, nacida en Buenos Aires en 1943, a lo largo de su carrera relizó esculturas con diversos materiales no convencionales como pan dulce, libros, queso y colchones.",Necochea,La Quiaca,Mar del Plata,1,
"7. ¿En que plaza de la ciudad de Buenos Aires se encuentra la copia de ""El Pensador"" de Rodin?","Para saber más: François-Auguste-René Rodin (París, 12 de noviembre de 1840 - Meudon, 17 de noviembre de 1917) es considerado el primer escultor moderno. Sus ideas y técnicas revolucionaron la escultura dejando atrás siglos de tradición clásica.",Plaza de Mayo,Plaza de la Constitución,Plaza Congreso,1,
8. ¿Qué representa esta piedra correspondiente a la civilización Maya?,"Para saber más: El pueblo Maya posee una rica historia de 3000 mil años de antigüedad. En épocas precolombinas dominaron extensos territorios en Centroamérica, Mexico y Guatemala fundando importantes ciudades, templos y monumentos.",Reloj solar,Retrato de una divinidad,Calendario,1,
9. ¿Cuáles de estas características corresponden a la búsqueda artística del Land Art (Arte de la tierra)?,Para saber más: El Land Art es un movimiento originado en Estados Unidos a finales de los años sesenta.,Trabajan con colores tierra representando la flora y la fauna,Son vegetarianos y luchan por el cuidado y respeto hacia el medio ambiente,Intervienen el paisaje y mayormente utilizan materiales de la naturaleza,1,
10. ¿Con motivo de qué acontecimiento los hombres Selknam realizaban sus pinturas corporales?,"Para saber más: El pueblo Selknam vivo en los territorios de Tierra del Fuego, eran nómadas terrestres, cazadores y recolectores. En 1883 comenzó un proceso de colonización y explotación de los territorios que habitaban, proceso un el cual fueron cazados y diezmados por enfermedades hasta su extinción.",Carnaval,Navidad,Rito de iniciación,1,
"1) Si yo quiero encontrar un libro en la Biblioteca del Congreso, ¿cómo tengo que hacer?",,Ingresar al catálogo online que se encuentra en la página web (www.bcn.gov.ar),"Ir a Hipólito Irigoyen 1750, consultar los catálogos y recibir orientación de los bibliotecarios referencistas",Ambas son correctas,2,
2) ¿Cuál fué el propósito de la creación de la Biblioteca del Congreso de la Nación en 1859?,Tip: Observa la fotografía. Los representantes del pueblo necesitan información para sancionar las leyes.,Instruir al pueblo,Crear una Biblioteca federal,Brindar material bibliográfico que sirviera a los legisladores para la formación de leyes,2,
"3) ¿Cuántas piezas bibliográficas aproximadamente tiene la Biblioteca del Congreso de la Nación entre diarios, revistas, libros, videotecas, mapotecas, material digitalizado y microfilmado?",Tip: Recuerda que la Biblioteca del Congreso es una de las más grandes de Latinoamérica.,Doscientos,Quinientas mil,Cuatro millones,2,
4) ¿Dónde se encuentra físicamente el Espacio Cultural de la Biblioteca del Congreso de la Nación?,Tip: El Espacio Cultural cuenta con un espacio propio desde el 2011.,"Dentro de la Biblioteca del Congreso de la Nación, situado en Hipólito Irigoyen 1750- CABA",Dentro del Bibliomóvil,Junto a la Hemeroteca Diarios en Adolfo Alsina 1835- CABA,2,
5) El Espacio Cultural de la Biblioteca del Congreso de la Nación ofrece talleres y cursos gratuitos. Los mismos son:,Para saber más: La BCN ofrece también talleres virtuales que son totalmente gratuitos.,Talleres para organizar la biblioteca de casa,Sólo clases de teatro y narración,"Teatro, tango, filosofía, escritura creativa, literatura, coro, cine, narración oral, historia del arte, dibujo creativo, introducción al pensamiento argentino, entre otros...",2,
"6) El Espacio Cultural de la Biblioteca del Congreso de la Nación cuenta con proyecciones gratuitas de cine, ¿cuántas veces por semana?",Para saber más puedes consultar la cartelera en: http://www.bcnbib.gov.ar/62/Cine.html,Tres veces por semana,Siete veces por semana,Dos veces por semana,2,
7) El espacio cultural de la Biblioteca del Congreso de la Nación cuenta con...,,Auditorio y aulas,Hall y Espacios de muestras,Ambas son correctas,2,
"8) La Biblioteca del Congreso de la Nación cuenta con un boletín de publicaciones periódicas desde comienzos del siglo XX, ¿qué temas aborda?",,Temas vinculados a la música clásica,Sólo temas vinculados al pensamiento latinoamericano,"Temas vinculados a la actividad parlamentaria, Contenidos históricos y bibliotecológicos, compilacion de diferentes campos del conocimeionto de autores que abordan problemáticas de actualidad",2,
"9) La Biblioteca del Congreso de la Nación cuenta con una biblioteca para ciegos, ¿verdadero o falso?",Tip: La Biblioteca del Congreso actualmente tiene un convenio con la Biblioteca Argentina Para Ciegos,Falso,No sabe no contesta,Verdadero,2,
"10) La Biblioteca del Congreso de la Nación cuenta con una política de calidad certificada con la Norma IRAM-ISO 9001:2008, ¿en qué año se certificó la misma?",,2005,2017,2009,2,
"1. “Rayuela”, la famosa novela de Julio Cortázar, trata sobre:","Para saber más: La obra de Julio Cortázar (Bruselas, 1914- París, 1984) tiene una base autobiográfica, se basa en experiencias vividas o soñadas por el escritor mismo.","Las aventuras de un grupo de niños en el barrio de La Boca, Buenos Aires;",Una reunión de docentes que termina a los saltos,La historia de un inmigrante argentino en París y su grupo de amigos;,3,
"2. La historieta “El eternauta”, escrita y pensada por Héctor Oesterheld, crea el concepto de “héroe colectivo”, esto significa:",Para saber más: Héctor Oesterheld (1919- 1977) es uno de los escritores secuestrados y asesinados por la dictadura militar debido a su militancia política en la Agrupación Montoneros.,"El héroe principal, El Eternauta, se traslada de un lugar a otro en colectivo;","Ninguna de las anteriores es verdadera, la historieta tiene lugar en un futuro donde ya no hay humanos y los héroes son sólo recuerdos","No hay un héroe protagonista en esta historia, hay varios, por eso el concepto de colectivo;",3,
"3. En Poesía, ¿qué es el yo lírico?","Para saber más: el término “poesía” se refiere tanto al conjunto de obras poéticas como a una composición en particular, mientras que la palabra “poema” solamente alude a una composición poética.",Es quien cuenta la historia y le suceden las sensaciones y las acciones en el poema;,"En la poesía tradicional, es el protagonista que narraba y tocaba la lira;",Ambas respuestas a y b son correctas,3,
"4. “Me atravesaba un río, me atravesaba un río!”, este verso pertenece a un poema llamado “Fui al río”, del poeta entrerriano Juan Laurentino Ortíz. ¿Cómo sucede en el poema que al yo lírico lo atraviese un río?","Para saber más: “Fui al río: Fui al río, y lo sentía/ cerca de mí, enfrente de mí./ Las ramas tenían voces/que no llegaban hasta mí./ La corriente decía/ cosas que no entendía./ Me angustiaba casi./Quería comprenderlo,/ sentir qué decía el cielo vago y pálido en él/con sus primeras sílabas alargadas,/pero no podía./Regresaba/-¿Era yo el que regresaba?-/en la angustia vaga/de sentirme solo entre las cosas últimas y secretas./De pronto sentí el río en mí,/corría en mí/con sus orillas trémulas de señas,/con sus hondos reflejos apenas estrellados./Corría el río en mí con sus ramajes./Era yo un río en el anochecer,/y suspiraban en mí los árboles,/y el sendero y las hierbas se apagaban en mí./Me atravesaba un río, me atravesaba un río”.",Hay una inundación en el pueblo y atraviesa a alguien que va al río;,Es un poema con el punto de vista de un pez;,Se utiliza una metáfora para mostrar la sensibilidad del personaje luego de un paseo por el río,3,
